en,pt-br
theatre,teatro
coordinator,Coordenador
talented,talentoso
alongside,ao lado
cab,táxi
isolation,isolamento
costly,dispendioso
tragic,trágico
instinct,instinto
intimate,íntimo
underlying,subjacente
influential,influente
pastor,pastor
presumably,presumivelmente
skip,pular
eleven,onze
tens,dezenas
whoever,quem quer que seja
ancestor,antepassado
safely,com segurança
nominee,Nomeado
exotic,exótico
minimal,mínimo
uncertain,incerto
Persian,persa
parental,parental
orchestra,orquestra
treasury,tesouraria
tolerate,tolerar
gallon,galão
thigh,coxa
fortunately,felizmente
ambitious,ambicioso
actively,ativamente
flexibility,flexibilidade
jar,jarra
cocaine,cocaína
incredibly,incrivelmente
consequently,consequentemente
documentary,documentário
insert,inserir
ambition,ambição
functional,funcional
bankruptcy,falência
runner,corredor
execution,execução
crush,crush
buddy,camarada
workplace,local de trabalho
skull,crânio
cord,cordão
fixed,fixo
equivalent,equivalente
casino,cassino
reliability,confiabilidade
expected,esperado
boil,ferver
whip,chicote
divine,divino
proposition,proposição
census,Censo
correction,correção
diary,diário
nest,ninho
statute,estatuto
exam,exame
metropolitan,Metropolitan
nutrition,nutrição
breeze,brisa
illusion,ilusão
anonymous,anônimo
coup,golpe
midst,meio
edit,editar
experienced,com experiência
castle,castelo
exploit,explorar
jewelry,joia
diabetes,diabetes
translation,tradução
Dutch,Holandês
irony,ironia
associated,associado
utilize,utilizar
rabbit,coelho
soap,sabão
booth,cabine
immune,imune
gut,intestino
appreciation,apreciação
scramble,passeio
upstairs,andar de cima
punch,soco
gross,bruto
liability,responsabilidade
accessible,acessível
mechanic,mecânico
ass,bunda
aesthetic,estético
dessert,sobremesa
waist,cintura
alike,parecido
brave,corajoso
loop,ciclo
passing,passagem
partially,parcialmente
statistical,Estatística
correctly,corretamente
pin,alfinete
practitioner,praticante
encouraging,encorajando
syndrome,síndrome
tribal,tribal
persist,persistir
trash,lixo
teenage,Adolescência
self-esteem,auto estima
preliminary,preliminares
sunset,pôr do sol
harassment,assédio
reportedly,segundo
fever,febre
panic,pânico
charter,Carta
outlook,panorama
foster,adotivo
comprise,compreende
known,conhecido
Thanksgiving,Ação de graças
short-term,curto prazo
shed,cabana
cooperative,cooperativo
alley,beco
subsidy,subvenção
secular,secular
aluminum,alumínio
cliff,penhasco
gram,grama
outline,contorno
mentally,mentalmente
invade,invadir
confrontation,confronto
dissolve,dissolver
shy,tímido
coin,moeda
speculation,especulação
creativity,criatividade
custody,custódia
interfere,interferir
spoon,colher
bee,abelha
rolling,rolando
interact,interagir
damn,droga
dam,barragem
unfair,Injusto
someday,algum dia
liquid,líquido
disclose,divulgar
mushroom,cogumelo
disabled,Desativado
catalog,Catálogo
publicity,publicidade
compel,obrigar
cease,cessar
decorate,decorar
surrounding,em torno da
exclusively,exclusivamente
bonus,bônus
unprecedented,sem precedente
oversee,vigiar
touchdown,aterragem
federation,federação
aggression,agressão
behalf,lado
well-known,bem conhecido
donation,doação
desperately,desesperadamente
high-tech,alta tecnologia
cheat,burlar
audio,Áudio
sensation,sensação
entrepreneur,empreendedor
proclaim,proclamar
supplier,fornecedor
rival,rival
reminder,lembrete
heal,curar
beast,fera
uncover,descobrir
merit,mérito
momentum,momento
stimulate,estimular
rational,racional
columnist,colunista
pioneer,pioneiro
biology,biologia
photography,fotografia
innovative,Inovativa
purse,bolsa
franchise,franquia
consent,consentimento
outfit,equipamento
eve,véspera
spray,Spray
shove,empurrão
fisherman,pescador
sensitivity,sensibilidade
courtesy,cortesia
stack,pilha
pork,carne de porco
teammate,companheiro de equipe
instant,instante
pulse,pulso
outsider,fora
helmet,capacete
ladder,escada
openly,abertamente
fierce,feroz
required,requeridos
shrink,Psiquiatra
cute,bonitinho
dot,ponto
weaken,enfraquecer
filter,filtro
worldwide,no mundo todo
envision,imagine
videotape,video cassete
partial,parcial
patent,patente
tray,bandeja
jungle,selva
classify,classificar
specialty,especialidade
nasty,desagradável
aisle,corredor
graph,gráfico
sexy,sexy
disturb,perturbar
excessive,excessivo
banker,banqueiro
installation,instalação
swimming,natação
placement,colocação
attendance,comparecimento
informal,informal
sack,saco
eighth,oitavo
premise,premissa
grill,grade
dying,moribundo
colorful,colorido
hockey,hóquei
backyard,quintal
collar,colarinho
breathing,respirando
logical,lógico
lightning,relâmpago
dried,seco
discount,desconto
sole,único
boast,se vanglorie
tag,marcação
sibling,irmão
stove,fogão
trainer,treinador
vertical,vertical
added,adicionado
marketplace,Mercado
cure,cura
curiosity,curiosidade
organizational,organizacional
shrimp,camarão
inherit,herdar
distract,distrair
isolated,isolado
planner,planejador
supposedly,supostamente
likewise,Da mesma forma
monkey,macaco
toll,pedágio
embarrassed,envergonhado
deliberately,deliberadamente
bicycle,bicicleta
stance,posição
orbit,órbita
hormone,hormônio
depressed,depressivo
organism,organismo
deploy,implantar
strictly,estritamente
deem,Deem
eyebrow,sobrancelha
legally,legalmente
puzzle,quebra-cabeça
icon,ícone
pat,Pat
closest,mais próximo
sneak,esgueirar-se
fleet,frota
conservation,conservação
supportive,apoio
comparable,comparável
texture,textura
striking,impressionante
Christianity,cristandade
dip,mergulhar
disappointment,desapontamento
sleeve,manga
socially,socialmente
wheat,trigo
chunk,pedaço
two-thirds,dois terços
refuge,refúgio
blank,em branco
unfold,desdobrar
considerably,consideravelmente
frontier,fronteira
suspicious,suspeito
conception,concepção
feather,pena
elephant,elefante
textbook,livro didático
glimpse,vislumbre
inevitably,inevitavelmente
triumph,triunfo
plunge,mergulho
sphere,esfera
hunger,fome
density,densidade
cheer,alegrar
balanced,equilibrado
protocol,protocolo
legislator,legislador
auction,leilão
equality,igualdade
risky,arriscado
cemetery,cemitério
builder,construtor
awake,acordado
retailer,varejista
debut,estréia
tighten,apertar
spare,poupar
constraint,restrição
compliance,observância
emerging,emergente
elaborate,elaborar
atop,no topo
chew,mastigar
similarity,semelhança
pencil,lápis
calculation,Cálculo
tolerance,tolerância
astronomer,astrônomo
bulk,volume
interval,intervalo
notebook,caderno
genre,gênero
likelihood,probabilidade
streak,à risca
rib,costela
scent,odor
validity,validade
steer,dirigir
intact,intacto
shark,Tubarão
uh,uh
programming,programação
dumb,idiota
formerly,anteriormente
squad,esquadrão
comply,cumprir
debris,destroços
peasant,camponês
outlet,tomada
neat,organizado
valid,válido
kingdom,reino
solely,exclusivamente
eligible,elegível
regret,arrepender
municipal,municipal
deposit,depósito
transport,transporte
dough,massa
lid,tampa
voluntary,voluntário
journalism,jornalismo
impulse,impulso
policeman,policial
objection,objeção
thrive,florescer
privately,particular
cling,agarrar -se
halfway,a meio caminho
unhappy,infeliz
rally,corrida
scratch,"coçar, arranhão"
robot,robô
conversion,conversão
supermarket,supermercado
blink,piscar
philosophical,filosófico
happily,Felizmente
thread,fio
allegedly,alegadamente
ash,cinza
dynamics,dinâmica
denial,negação
riot,rebelião
soar,disparar
mentor,mentor
beard,barba
widow,viúva
offender,agressor
landmark,marco
routinely,rotineiramente
butt,bunda
forbid,proibir
migration,migração
carrot,cenoura
harmony,harmonia
brutal,brutal
prevail,prevalecer
weed,erva daninha
exhaust,escape
pasta,massa
distinctive,distintivo
fraction,fração
emotionally,emocionalmente
poke,cutucar
dancing,dançando
freshman,calouro
suitable,adequado
youngster,jovem
slavery,escravidão
balloon,balão
opt,optar
crowded,superlotado
liver,fígado
listener,ouvinte
ironically,ironicamente
affirmative,afirmativa
commodity,mercadoria
fur,pelagem
freely,livremente
removal,remoção
goat,cabra
shareholder,acionista
expedition,expedição
loyal,leal
conscience,consciência
fragile,frágil
calendar,calendário
mineral,mineral
coming,chegando
fare,tarifa
blessing,bênção
liberation,libertação
steak,bife
ecological,ecológico
banana,banana
steadily,constantemente
blast,explosão
nonprofit,organização sem fins lucrativos
mobile,Móvel
straw,Palha
projection,projeção
rubber,borracha
overnight,durante a noite
neighboring,vizinho
enact,encenar
favorable,favorável
severely,severamente
demographic,demográfico
terrain,terreno
explicit,explícito
integrated,integrado
terribly,terrivelmente
sofa,sofá
screw,parafuso
shield,escudo
invention,invenção
perceived,percebido
cruel,cruel
bomber,bombardeiro
provoke,provocar
autonomy,autonomia
publishing,publicação
retreat,retiro
theology,teologia
substantially,substancialmente
mansion,mansão
developmental,desenvolvimento
one-third,um terço
transmit,transmite
contemplate,contemplar
authorize,autorizar
mathematics,matemática
old-fashioned,antiquado
lawmaker,legislador
threshold,limite
radar,radar
seldom,raramente
headache,dor de cabeça
rental,aluguel
spy,espião
patron,patrono
driveway,Mediante de entrada
till,até
overwhelm,Sobrecarga
coordinate,coordenada
vendor,fornecedor
fragment,fragmento
hammer,martelo
seminar,seminário
availability,disponibilidade
peanut,amendoim
fantastic,fantástico
depart,partir
cottage,cabana
specify,especificamos
frustrate,frustrar
disturbing,perturbador
artifact,artefato
basin,bacia
regain,recuperar
grape,uva
ego,ego
sometime,às vezes
organized,organizado
charm,charme
sweater,suéter
rim,aro
speculate,especular
delight,prazer
fatigue,fadiga
devastating,devastador
instructional,instrução
plea,declarar
tourism,turismo
warmth,cordialidade
jurisdiction,jurisdição
update,atualizar
accusation,acusação
diagram,diagrama
middle-class,classe média
graduation,graduação
spark,fagulha
convenience,conveniência
chill,frio
economically,economicamente
undergraduate,estudante universitário
dictate,ditar
regulator,regulador
defender,defensor
workout,treino
accurately,com precisão
tile,telha
foreigner,estrangeiro
importantly,importante
citizenship,cidadania
plaza,praça
devise,inventar
premium,Prêmio
chemistry,química
bureaucracy,burocracia
inherent,inerente
hazard,perigo
swell,inchar
bride,noiva
processor,processador
bucket,balde
timber,madeira
feminist,feminista
tumor,tumor
apology,desculpa
screening,triagem
arrow,flecha
marker,marcador
sunny,ensolarado
technician,técnico
homework,trabalho de casa
fog,névoa
soak,absorver
mortality,mortalidade
flying,vôo
accountability,responsabilidade
skilled,especializado
straighten,endireitar
sprinkle,Polvilhe
cue,deixa
epidemic,epidemia
articulate,articular
rehabilitation,reabilitação
diplomat,diplomata
ribbon,fita
transit,transito
militia,milícia
kneel,ajoelhar
seller,vendedor
fatal,fatal
compelling,atraente
well-being,bem-estar
laundry,lavanderia
confession,confissão
twentieth,vigésimo
dense,denso
accelerate,acelerar
tribute,tributo
smoking,fumar
aboard,a bordo
marble,mármore
entertain,entreter
boring,tedioso
scrutiny,escrutínio
bizarre,bizarro
bargain,barganha
drown,afogar
biography,biografia
naval,naval
nationwide,em todo o país
skeptical,cético
shorts,calção
lens,lente
spit,cuspir
sexuality,sexualidade
warehouse,armazém
paradise,paraíso
nominate,nomear
developed,desenvolvido
unfortunate,infeliz
grandchild,neto
tenure,posse
preach,pregar
slot,slot
stereotype,estereótipo
bulb,lâmpada
weave,tecer
merger,fusão
inadequate,inadequado
electronics,eletrônicos
trim,aparar
